method,velo.rest,velo.vo,diam.rest,diam.vo
capillaroscopy,NA,NA,11.3,11.3
capillaroscopy,NA,0.218,7.8,11.7
capillaroscopy,0.799,0.057,11.0,12.7
capillaroscopy,1.013,NA,12.7,14.5
capillaroscopy,0.907,0.100,10.6,11.3
capillaroscopy,1.130,0.497,9.1,12.4
capillaroscopy,0.554,0.070,11.7,13.5
capillaroscopy,1.212,0.195,10.3,10.3
capillaroscopy,0.883,NA,11.3,10.0
capillaroscopy,NA,NA,9.2,10.2
capillaroscopy,0.690,0.095,14.1,14.8
capillaroscopy,0.717,0.179,11.7,12.4
capillaroscopy,0.701,0.104,9.1,10.2
capillaroscopy,NA,0.409,12.7,13.8
capillaroscopy,NA,NA,NA,NA
capillaroscopy,0.577,0.061,12.4,10.2
capillaroscopy,0.868,0.292,12.7,13.8
capillaroscopy,0.290,0.073,9.0,9.8
capillaroscopy,0.914,0.070,12.4,12.0
capillaroscopy,0.970,0.321,9.9,11.7
capillaroscopy,0.470,0.000,11.3,12.0
capillaroscopy,NA,0.243,11.7,11.7
capillaroscopy,0.621,0.257,8.8,8.8
capillaroscopy,NA,NA,12.7,13.8
capillaroscopy,NA,NA,NA,NA
capillaroscopy,0.533,0.381,12.4,14.5
capillaroscopy,1.091,0.381,12.0,13.8
capillaroscopy,0.528,0.115,13.1,12.0
capillaroscopy,0.770,0.198,12.4,11.7
OPS imaging,0.559,0.084,9.9,13.7
OPS imaging,0.557,0.110,8.7,10.6
OPS imaging,0.990,0.169,13.7,13.6
OPS imaging,0.874,0.038,11.2,14.3
OPS imaging,1.057,0.165,11.8,14.0
OPS imaging,0.610,0.148,11.2,12.5
OPS imaging,1.123,0.293,12.5,13.0
OPS imaging,0.326,0.019,9.5,11.3
OPS imaging,1.123,0.321,9.3,10.6
OPS imaging,0.855,0.192,9.3,11.2
OPS imaging,0.447,0.093,12.4,14.3
OPS imaging,0.536,0.185,11.8,11.2
OPS imaging,0.513,0.109,7.5,8.8
OPS imaging,1.148,0.356,11.8,13.1
OPS imaging,0.516,NA,11.8,9.9
OPS imaging,0.480,0.023,13.7,9.4
OPS imaging,0.847,0.193,11.2,12.5
OPS imaging,0.386,0.049,8.1,11.2
OPS imaging,0.818,0.097,11.2,11.8
OPS imaging,1.008,0.222,10.6,11.2
OPS imaging,0.310,0.011,11.2,13.1
OPS imaging,0.897,0.270,10.6,11.2
OPS imaging,0.821,0.250,7.5,9.3
OPS imaging,1.318,0.208,16.2,14.9
OPS imaging,0.594,NA,NA,NA
OPS imaging,0.628,0.107,13.1,16.1
OPS imaging,0.986,0.175,13.7,12.4
OPS imaging,0.363,0.125,12.5,10.6
OPS imaging,0.631,0.173,11.2,14.3
OPS imaging,0.776,0.080,11.2,11.8
