# Sokal & Rohlf, Biometry 3rd edition
# problem 16.4, pg 682-3
#
# Growth of Hudson River striped bass.
# Incremental growth as a function of population density,
# degree rise, measure of river flow
year,growth,density,temp.rise,flow
1965,23.7, 1.2,0.3077,-3.2356
1966,18.3,10.0,0.4444,-1.3405
1967,27.8, 4.2,0.4000,-1.5533
1968,18.5, 1.3,0.1818, 0.0070
1969, 7.9,32.1,0.2105,-0.1987
1970,15.3,16.7,0.1820,-1.1177
1972,21.2, 9.7,0.2667, 4.3428
1973,21.8,28.6,0.5000, 1.8497
1974,22.1, 9.5,0.1540, 0.8988
1975,25.2,18.3,0.4444, 1.0978
1976,25.1,11.3,0.4444, 5.1556
